Bank,RSSD_ID,State,Class,FDIC_Name,Address,City,Zip
" Petefish, Skiles & Co.  ",602543,IL, Bank ,PETEFISH SKILES COMPANY,102 WEST BEARDSTOWN STREET ,VIRGINIA,62691
Test Name,5069,Test State,Test Class,Test FDIC Name,Test Address,Test City,Test Zip
